[ultrawidescaledtail10_e750_s46] ep 006/750 train_loss=1.5886 val_raw=68.10 val_ema=10.08 best_raw=68.10@6 best_ema=10.08@4 lr=0.10000 time=7.3s
[ultrawidescaledtail10_e750_s47] ep 006/750 train_loss=1.6187 val_raw=70.78 val_ema=10.08 best_raw=70.78@6 best_ema=10.08@2 lr=0.10000 time=7.1s
[ultrawidescaledtail10_e750_s45] ep 006/750 train_loss=1.6291 val_raw=69.24 val_ema=11.10 best_raw=69.24@6 best_ema=11.10@6 lr=0.10000 time=7.5s
[ultrawidescaledtail10_e750_s43] ep 006/750 train_loss=1.6147 val_raw=68.54 val_ema=10.08 best_raw=68.54@6 best_ema=12.54@3 lr=0.10000 time=7.3s
[ultrawidescaledtail10_e750_s44] ep 006/750 train_loss=1.5556 val_raw=68.94 val_ema=10.08 best_raw=68.94@6 best_ema=13.88@1 lr=0.10000 time=7.3s
[ultrawidescaledtail10_e750_s49] ep 007/750 train_loss=1.5709 val_raw=73.98 val_ema=9.76 best_raw=73.98@7 best_ema=10.74@3 lr=0.10000 time=7.2s
[ultrawidescaledtail10_e750_s42] ep 007/750 train_loss=1.5094 val_raw=72.68 val_ema=9.76 best_raw=72.68@7 best_ema=10.62@1 lr=0.10000 time=8.1s
[ultrawidescaledtail10_e750_s48] ep 007/750 train_loss=1.5449 val_raw=71.80 val_ema=9.80 best_raw=71.80@7 best_ema=10.06@2 lr=0.10000 time=7.9s
[ultrawidescaledtail10_e750_s46] ep 007/750 train_loss=1.5059 val_raw=66.72 val_ema=10.08 best_raw=68.10@6 best_ema=10.08@4 lr=0.10000 time=7.8s
[ultrawidescaledtail10_e750_s47] ep 007/750 train_loss=1.4873 val_raw=70.30 val_ema=10.08 best_raw=70.78@6 best_ema=10.08@2 lr=0.10000 time=7.3s
[ultrawidescaledtail10_e750_s44] ep 007/750 train_loss=1.5116 val_raw=65.70 val_ema=10.08 best_raw=68.94@6 best_ema=13.88@1 lr=0.10000 time=7.1s
